Structures,Optimized with dmol3,crystal,PE (%TNT),PUBCHEM_COMPOUND_CID,pubchem cid,Marked structure (Mark Structures),Fragments found (Mark Structures),N : ESP charge (VAMP Electrostatics),O1 : ESP charge (VAMP Electrostatics),O2 : ESP charge (VAMP Electrostatics),N : Coulson charge (VAMP Electrostatics),O1 : Coulson charge (VAMP Electrostatics),O2 : Coulson charge (VAMP Electrostatics),N : Mulliken charge (VAMP Electrostatics),O1 : Mulliken charge (VAMP Electrostatics),O2 : Mulliken charge (VAMP Electrostatics),Structure (VAMP Electrostatics),Total energy (VAMP Electrostatics),Electronic energy (VAMP Electrostatics),Heat of formation (VAMP Electrostatics),HOMO eigenvalue (VAMP Electrostatics),LUMO eigenvalue (VAMP Electrostatics),Molecular surface area (VAMP Electrostatics),Total dipole (VAMP Electrostatics),Dipole x (VAMP Electrostatics),Dipole y (VAMP Electrostatics),Dipole z (VAMP Electrostatics),Quadrupole xx (VAMP Electrostatics),Quadrupole xy (VAMP Electrostatics),Quadrupole yy (VAMP Electrostatics),Quadrupole xz (VAMP Electrostatics),Quadrupole yz (VAMP Electrostatics),Quadrupole zz (VAMP Electrostatics),Octupole xxx (VAMP Electrostatics),Octupole xxy (VAMP Electrostatics),Octupole xxz (VAMP Electrostatics),Octupole xyy (VAMP Electrostatics),Octupole xyz (VAMP Electrostatics),Octupole xzz (VAMP Electrostatics),Octupole yyy (VAMP Electrostatics),Octupole yyz (VAMP Electrostatics),Octupole yzz (VAMP Electrostatics),Octupole zzz (VAMP Electrostatics),Total ZDO dipole (VAMP Electrostatics),ZDO Dipole x (VAMP Electrostatics),ZDO Dipole y (VAMP Electrostatics),ZDO Dipole z (VAMP Electrostatics),Mean polarizability (VAMP Electrostatics),Total molecular mass (Atomistic Descriptors),Atom count (Atomistic Descriptors),Element count (Atomistic Descriptors),Rotatable bonds (Fast Descriptors),Hydrogen bond donor (Fast Descriptors),Hydrogen bond acceptor (Fast Descriptors),Chiral centers (Fast Descriptors),AlogP (Fast Descriptors),AlogP98 (Fast Descriptors),Molecular refractivity (Fast Descriptors),Molecular flexibility (Fast Descriptors),Balaban index JX (Fast Descriptors),Balaban index JY (Fast Descriptors),Wiener index (Fast Descriptors),Zagreb index (Fast Descriptors),Kappa-1 (Fast Descriptors),Kappa-2 (Fast Descriptors),Kappa-3 (Fast Descriptors),Kappa-1 (alpha modified) (Fast Descriptors),Kappa-2 (alpha modified) (Fast Descriptors),Kappa-3 (alpha modified) (Fast Descriptors),Subgraph counts (0): path (Fast Descriptors),Subgraph counts (1): path (Fast Descriptors),Subgraph counts (2): path (Fast Descriptors),Subgraph counts (3): path (Fast Descriptors),Subgraph counts (3): cluster (Fast Descriptors),Subgraph counts (3): chain (Fast Descriptors),Chi (0) (Fast Descriptors),Chi (1) (Fast Descriptors),Chi (2) (Fast Descriptors),Chi (3): path (Fast Descriptors),Chi (3): cluster (Fast Descriptors),Chi (3): chain (Fast Descriptors),Chi (0) (valence modified) (Fast Descriptors),Chi (1) (valence modified) (Fast Descriptors),Chi (2) (valence modified) (Fast Descriptors),Chi (3): path (valence modified) (Fast Descriptors),Chi (3): cluster (valence modified) (Fast Descriptors),Information content (IC) (Fast Descriptors),Bond information content (BIC) (Fast Descriptors),Complementary information content (CIC) (Fast Descriptors),Structural information content (SIC) (Fast Descriptors),Edge adjacency/magnitude (Fast Descriptors),Edge distance/magnitude (Fast Descriptors),Vertex adjacency/equality (Fast Descriptors),Vertex adjacency/magnitude (Fast Descriptors),Vertex distance/equality (Fast Descriptors),Vertex distance/magnitude (Fast Descriptors),Atomic composition (total) (Fast Descriptors),Molecular area (vdW area) (Spatial Descriptors),Molecular volume (vdW volume) (Spatial Descriptors),Molecular density (Spatial Descriptors),Principal moments of inertia (magnitude) (Spatial Descriptors),Principal moment of inertia X (Spatial Descriptors),Principal moment of inertia Y (Spatial Descriptors),Principal moment of inertia Z (Spatial Descriptors),Radius of gyration (Spatial Descriptors),Ellipsoidal volume (Spatial Descriptors),Shadow area: XY plane (Spatial Descriptors),Shadow area: YZ plane (Spatial Descriptors),Shadow area: ZX plane (Spatial Descriptors),Shadow area fraction: XY plane (Spatial Descriptors),Shadow area fraction: YZ plane (Spatial Descriptors),Shadow area fraction: ZX plane (Spatial Descriptors),Shadow length: LX (Spatial Descriptors),Shadow length: LY (Spatial Descriptors),Shadow length: LZ (Spatial Descriptors),Shadow ratio (Spatial Descriptors),Dipole moment (magnitude) (Spatial Descriptors),Dipole moment X (Spatial Descriptors),Dipole moment Y (Spatial Descriptors),Dipole moment Z (Spatial Descriptors),Connolly surface area (Atom Volumes and Surfaces),Connolly surface occupied volume (Atom Volumes and Surfaces),Solvent surface area (Atom Volumes and Surfaces),Solvent surface occupied volume (Atom Volumes and Surfaces),Structure (Forcite Energetics),Total energy (Forcite Energetics),Non bond energy (Forcite Energetics),Hydrogen bond energy (Forcite Energetics),van der Waals energy (Forcite Energetics),Electrostatic energy (Forcite Energetics),Valence energy (diag. terms) (Forcite Energetics),Bond energy (Forcite Energetics),Angle energy (Forcite Energetics),Torsion energy (Forcite Energetics),Inversion energy (Forcite Energetics),Valence energy (cross terms) (Forcite Energetics),Stretch-Stretch energy (Forcite Energetics),Stretch-Bend-Stretch energy (Forcite Energetics),Stretch-Torsion-Stretch energy (Forcite Energetics),Separated-Stretch-Stretch energy (Forcite Energetics),Torsion-Stretch energy (Forcite Energetics),Bend-Bend energy (Forcite Energetics),Torsion-Bend-Bend energy (Forcite Energetics),Bend-Torsion-Bend energy (Forcite Energetics),Atom count (O atom count),Element count (O atom count),Element count (N atom count),Element count (C atom count (2)),Element count (H atom count),Oxygen Balance
Mannitol hexanitrate,Mannitol hexanitrate,,143,Mannitol hexanitrate,61818,Mannitol hexanitrate,6,-0.0617,0.038,-0.0006,0.8109634216,-0.0897067919,-0.3635666991,0.8284,-0.1407,-0.3634,Mannitol hexanitrate,-7257.231704,-72195.299206,13870.896646,-8.987441,-3.601407,215.725706,6.41,5.337,-3.549,0,-4,14.15,-32.447,0,0,36.447,11.427,-23.8,0,33.222,0,-44.65,-8.865,0,32.665,0,6.394,5.372,-3.468,0,29.951737,452.153990745544,38,6,11,0,18,4,2.9316,0.031,78.567596,12.080136,5.406147,6.448073,2333,134,30,15.745152,14.65928,27.119999,13.362983,12.339784,30,29,38,38,10,0,23.430359,13.827178,13.308459,7.026003,3.054988,0,13.755364,6.622992,4.360944,2.60357,0.532159,2.82258,0.550287,2.084311,0.575228,474.842499,7984.715332,310.356628,339.762909,3007.84375,8643.441406,69.343048,215.360668730836,186.782299539733,2.42075395719903,4620.20733730434,1162.35490837173,2526.85346909636,3689.20837746809,2.60634797757548,159.935193003625,70.7111734300312,24.3486604196724,31.6675668627871,0.671664167916042,0.78743961352657,0.804597701149425,11.5759589906917,9.0945012008285,3.40000009536743,3.40469372529257,0,0,0,0,205.97643828414,193.405440485351,390.80169194526,607.447244359719,Mannitol hexanitrate,1056435.18775053,1052368.43568877,0,1052489.71366235,-121.277973583968,4066.75206175943,3136.91105459464,925.422896821726,4.4181103430615,0,0,0,0,0,0,0,0,0,0,38,18,6,6,8,7.07723489230651
Hexanitroethane,Hexanitroethane,,108,Hexanitroethane,61232,Hexanitroethane,6,-0.1856,-0.0198,-0.0554,0.4803637241,-0.2315408134,-0.2306457448,0.4414,-0.2208,-0.2201,Hexanitroethane,-5318.090273,-30976.679731,147.510807,-13.774471,-3.879004,235.951263,0.232,-0.219,0.03,-0.07,5.61,0.096,-4.249,-0.858,0.115,-1.361,-3.21,4.863,-0.849,1.198,-2.257,2.012,-2.198,0.5,-2.665,0.349,0.131,-0.11,0.054,-0.046,19.116562,300.05199432373,20,2,1,0,12,0,2.673201,2.712801,47.270798,4.475621,6.224902,7.409138,634,98,20,6.84,2.72,17.360001,5.156245,1.8881,20,19,30,45,14,0,16.464102,8.910254,8.794229,6.482049,2.4245,0,8.582261,3.782532,2.813479,1.977517,0.61305,1.895462,0.408165,2.426466,0.438569,354.413422,2996.484863,181.177017,199.421249,959.940979,3383.955811,25.909237,236.780318911856,187.287975745405,1.60208893886287,2115.02842535167,1062.73722759305,1282.8937219029,1303.11876796996,2.42190779287646,103.723846429692,43.6364073801754,39.120525786825,44.5892053156664,0.712320200125078,0.690283400809717,0.752888318356868,8.00106546486761,7.65642272148921,7.40203867068986,1.08092727163798,0,0,0,0,195.221166729091,201.364156143398,366.48960883352,597.677180294344,Hexanitroethane,43.8712220275972,-47.1283598179879,0,18.9779547953844,-66.1063146133722,90.999581845585,73.5381232023867,15.3877593616939,2.06054985216378,1.31494293406944E-02,0,0,0,0,0,0,0,0,0,20,12,6,2,0,42.6592731997972
hexyl,hexyl,,111,Dipicrylamine,8576,hexyl,6,-0.1365,-0.0407,-0.0382,0.5115542276,-0.3026313529,-0.2905214561,0.4582,-0.2931,-0.2809,hexyl,-6873.986904,-49305.680361,192.553013,-11.601597,-3.356397,373.508534,1.085,0.596,-0.897,0.133,-10.77,-2.724,4.006,-7.786,0.933,6.764,-28.796,-255.021,-19.841,32.781,56.076,-3.985,178.41,-5.321,76.611,25.162,0.833,0.511,-0.654,0.076,34.070329,439.20899116993,36,12,2,1,12,0,3.019799,2.7465,98.492386,6.301916,2.709481,2.996519,2436,158,27.246094,11.421457,6.533333,22.884602,8.536718,4.612266,31,32,47,60,14,0,23.618437,14.344024,14.145899,10.354598,3.14983,0,14.391663,7.341932,5.3857,3.621393,0.755877,2.808089,0.514356,2.146107,0.56681,616.131348,9990.974609,339.324432,384,3292.964355,9298.09668,68.817078,373.417811036654,304.951287474898,1.44025950769623,7802.297459827,1969.44006800199,5265.46703458726,5410.36120585733,3.74685915675718,481.624769490806,83.4050657557317,55.8158736188958,81.8399436265159,0.624269005847953,0.690338164251208,0.590961098398169,15.1274463168055,8.83191814596118,9.1546302461212,1.71281550245382,0,0,0,0,322.558298480397,327.03517089662,556.432401509375,949.264211918326,hexyl,87.4988767863444,3.74186731493089,0,33.5078007474319,-29.765933432501,83.7570094714135,24.6351025239415,9.10081689267393,50.0046540146569,1.64360401411832E-02,0,0,0,0,0,0,0,0,0,36,12,7,12,5,-52.8222337575597
Dipentaerythritol hexanitrate,Dipentaerythritol hexanitrate,,144,Dipentaerythritol hexanitrate,83215,Dipentaerythritol hexanitrate,6,-0.2376,-0.1154,-0.0187,0.8335909645,-0.4719549084,-0.3672505736,0.834,-0.4796,-0.369,Dipentaerythritol hexanitrate,-7983.694434,-88049.243809,18814.39975,-10.475323,-3.948987,273.240402,1.349,-1.023,0.879,0,-46.448,-2.018,-25.291,0,0,71.739,-7.648,-8.299,0,-1.216,0,8.864,13.056,0,-4.758,0,1.496,-1.065,1.051,0,35.918822,524.260989189148,51,10,16,0,19,0,2.566799,-0.591497,100.109276,14.556319,5.198608,6.076472,3848,158,35,18.284445,17.983471,32.080006,15.881268,15.574313,35,34,45,44,14,0,27.070702,16.206118,15.448685,8.926324,3.863703,0,17.096853,8.424166,6.475058,3.673367,1.596787,2.219789,0.417102,2.909494,0.432768,584.266785,11482.84375,378.963593,413.947479,4453.107422,12287.413086,95.854012,272.429360921564,235.47896268206,2.22636019463445,7337.77904991431,1925.32349769972,3950.72280404081,5876.04630174053,3.02214962645964,289.570556321041,89.3649234539802,26.8228189766263,36.8941730845012,0.677611940298507,0.795555555555556,0.81592039800995,13.2993697668206,9.91642145984222,3.40000009536743,3.91157923346568,0,0,0,0,255.871661787021,242.829318578528,459.597778611122,742.981195242558,Dipentaerythritol hexanitrate,2077245387.28473,2077239782.6588,0,2077240048.75678,-266.097982184415,5604.62593753011,4215.84802120712,1382.15075080839,6.62716551459225,0,0,0,0,0,0,0,0,0,0,51,19,6,10,16,-27.467235397911
HMX,HMX,,150,,17596,HMX,4,0.0877,-0.0768,-0.0886,0.6132420247,-0.3147246342,-0.3409065662,0.59,-0.3047,-0.3314,HMX,-4820.767585,-29374.23909,214.579926,-11.89713,-2.118669,254.895518,0.515,-0.037,0.514,0.001,3.729,-0.106,5.308,-6.745,-0.483,-9.037,1.342,-5.894,-13.531,-5.801,94.24,4.458,69.474,13.456,-63.581,0.074,0.426,-0.031,0.425,0.002,21.944012,296.155995368958,28,4,0,0,8,0,1.5036,-1.267199,58.569199,4.692338,2.662165,3.130622,756,96,18.049999,7.852041,5.378906,15.497338,6.055669,3.971789,20,20,28,32,8,0,15.447227,9.218122,8.959195,6.19323,2,0,9.672121,4.790416,3.542822,2.229724,0.533333,2.321928,0.506422,2,0.537244,325.211884,3360.368408,187.598236,212.877121,1196.357422,3360.04541,54.605938,255.270128729248,206.160798411654,1.43652914448655,2910.66688694241,1595.33234387611,1599.3510946792,1835.47610043668,2.77501297461783,204.696058774906,55.7887643213287,50.1315497666891,51.0296929335134,0.737086776859504,0.736363636363636,0.745454545454545,8.72379710779557,8.67606037628837,7.84686590993183,1.11175559872303,0,0,0,0,230.182010731263,216.831027319829,424.253210641494,678.161395977961,HMX,94.4366818037153,-19.3700734426581,0,59.6796606700948,-79.0497341127529,113.806755246373,42.6171365984861,54.4296262125577,10.9063399976159,5.85365243771365,0,0,0,0,0,0,0,0,0,28,8,8,4,8,-21.6102327829856
"N-Ethyl-N,2,4,6-tetranitroaniline","N-Ethyl-N,2,4,6-tetranitroaniline",,111,,80150,"N-Ethyl-N,2,4,6-tetranitroaniline",4,-0.0883,-0.0441,-0.0548,0.6306501376,-0.2953375658,-0.3477558953,0.6111,-0.2857,-0.3386,"N-Ethyl-N,2,4,6-tetranitroaniline",-4701.437981,-28836.266334,137.450137,-11.489172,-3.340759,266.725193,4.585,-1.407,-0.253,-4.357,-20.422,-3.506,-11.993,-11.955,2.471,32.415,103.878,-49.701,-45.026,-53.295,3.319,-50.583,48.251,30.944,1.45,14.082,4.331,-1.129,-0.352,-4.166,24.352739,301.17099416256,28,8,2,0,8,0,2.071201,1.4909,68.301506,4.770804,3.500473,3.902324,830,102,19.047619,8.022223,4.487535,16.314762,6.140873,3.232847,21,21,30,38,9,0,16.317471,9.700484,9.184715,6.61612,2.019359,0,10.363861,5.233056,3.557555,2.413423,0.475384,3.213513,0.668458,1.178804,0.731621,354.413422,3772.387451,200.088913,226.477325,1294.781372,3773.314697,55.344814,263.512968999756,218.595213765985,1.37775658018284,3295.41111311998,1115.42132202478,1839.04304023387,2496.69589157641,2.98925866893241,384.712997861476,68.258908386647,42.3117138050639,47.5828661340974,0.604747162022704,0.508403361344538,0.509189640768588,11.257764708013,10.0261300179017,8.3007793755783,1.35622984284276,0,0,0,0,234.609506154851,229.232373756645,430.236915580399,699.073591394199,"N-Ethyl-N,2,4,6-tetranitroaniline",69.429009261186,33.7919893413478,0,50.3096053465876,-16.5176160052397,35.6370199198382,19.1472062400605,5.05717643774848,11.1814772905517,0.251159951477476,0,0,0,0,0,0,0,0,0,28,8,5,8,7,-61.0948609150203
PETN,PETN,,142,PETN,6518,PETN,4,0.0471,-0.0273,-0.0885,0.6058075878,-0.2530505549,-0.3242869641,0.5888,-0.2446,-0.3177,PETN,-5405.493803,-30941.667481,-39.143517,-12.899065,-1.644186,292.251742,0.106,-0.053,-0.055,-0.074,-5.195,-0.001,-5.381,0.252,-0.333,10.576,2.241,-0.241,54.98,-2.274,34.486,0.032,-2.068,-54.797,2.31,-0.183,0.083,-0.021,-0.07,-0.039,22.403301,316.134993553162,29,5,8,0,12,0,1.866601,-0.1838,58.503716,8.26457,4.419593,5.213194,968,92,21,10.680473,11.25,19.080002,9.096225,9.58898,21,20,26,24,8,0,16.466253,9.666007,9.230088,5.008072,2.3401,0,10.01626,4.759805,3.488175,1.90458,0.828823,2.106603,0.459459,2.285714,0.479611,296.422852,3354.766357,193.516006,212.877121,1373.17981,3765.113281,54.252258,291.67513007213,223.677955308634,1.41334890654268,4505.5241982052,2099.61741741328,2113.47629247255,3380.02558603687,3.1184208289523,353.059505323158,61.2231778976504,54.6271883129956,54.7199166377034,0.418435904326794,0.614089499335401,0.614532565352237,12.1019439545692,12.0901527753214,7.35775610546118,1.64478732117618,0,0,0,0,260.251077942887,238.192933729872,494.834200130682,768.91462063623,PETN,118.122882116459,11.492616833358,0,42.9736114095217,-31.4809945761636,106.630265283101,51.4134434212534,55.2026502951552,1.41692712545922E-02,2.29543750451811E-06,0,0,0,0,0,0,0,0,0,29,12,4,5,8,-10.1222581025719
"2,3,4,6-Tetranitroaniline","2,3,4,6-Tetranitroaniline",,121,"2,3,4,6-Tetranitroaniline",19431,"2,3,4,6-Tetranitroaniline",4,-0.0482,-0.0407,-0.0411,0.5049671267,-0.288332816,-0.2886667882,0.4518,-0.2784,-0.2788,"2,3,4,6-Tetranitroaniline",-4391.313925,-23910.024703,115.503493,-11.387577,-3.042243,246.028605,5.645,-5.516,1.201,-0.021,-12.047,-11.364,11.712,0.133,0.051,0.336,113.397,87.286,-0.245,-133.094,0.217,19.697,-63.345,-0.055,-23.941,0.299,5.647,-5.464,1.426,-0.012,20.341304,273.116994738579,22,6,0,2,8,0,1.077801,0.661,60.057201,3.665741,3.62548,4.045152,618,94,17.052631,6.635204,3.555556,14.3215,4.863253,2.425476,19,19,28,36,9,0,14.903258,8.679315,8.553297,6.017842,2.020171,0,8.709541,4.221046,3.054147,2.029975,0.462143,2.584262,0.549792,1.663665,0.608358,325.211884,2984.953613,175.251328,199.421249,1009.113037,2984.712158,42.233192,244.570812909369,187.476231709942,1.45680864314116,2798.02082828432,1051.11936119251,1424.22001725217,2166.94854265101,2.87987762703106,187.192610596078,54.360756628608,39.2703089700159,40.7044945676471,0.622675736961451,0.840329218106996,0.794406651549509,9.78372179883791,8.92317590570497,5.23715466265614,1.86813688520627,0,0,0,0,218.90400311082,201.668387232812,409.337762796405,644.736908860541,"2,3,4,6-Tetranitroaniline",60.0191533267353,-0.498852988349075,0,14.1740158194617,-14.6728688078107,60.5180063150844,18.1166247781223,2.40104731375641,40.0002076570848,1.26566120818072E-04,0,0,0,0,0,0,0,0,0,22,8,5,6,3,-32.2206240165433
Tetranitronaphthalene,Tetranitronaphthalene,,101,"1,3,6,8-Tetranitronaphthalene",34385,Tetranitronaphthalene,4,-0.1227,-0.0393,-0.0394,0.496847826,-0.2903789637,-0.2903290895,0.4435,-0.2805,-0.2805,Tetranitronaphthalene,-4710.014201,-27545.643423,128.25179,-11.364541,-3.509226,265.369857,4.778,-0.001,-4.778,-0.031,-16.198,0.006,-14.089,0.005,-0.004,30.287,0.07,249.325,-0.284,-0.068,-0.121,-0.002,-168.563,-0.061,-80.762,0.345,4.307,0,-4.307,-0.011,25.381226,308.161993503571,26,10,0,0,8,0,2.863201,2.316,71.806992,3.747662,2.846533,3.090482,943,114,18.340265,7.266436,3.92562,15.331141,5.377849,2.7291,22,23,34,44,10,0,16.601929,10.218122,10.104177,7.49216,2.21661,0,10.364242,5.414422,4.056344,2.791961,0.573075,3.004886,0.598301,1.454545,0.673827,413.947479,4661.836426,219.28923,254.083847,1469.930908,4200.28418,48.992153,265.372612870653,219.26714369444,1.4054180134394,4287.27755863008,1420.23603535299,2156.4466505706,3422.48686072873,3.25763737197319,327.395528555532,75.1576402439704,30.3642833348899,42.9243693230472,0.658730158730159,0.636070853462158,0.654908877131099,12.515999792178,9.11591026424263,5.23669763247893,2.39005584636997,0,0,0,0,242.374325710984,228.070145380776,445.943077512654,715.009315973344,Tetranitronaphthalene,53.4838420167463,9.38464383365157,0,33.0110794453919,-23.6264356117403,44.0991981830947,17.8611450261405,6.23790104173808,20.0001363624365,1.57527795978663E-05,0,0,0,0,0,0,0,0,0,26,8,4,10,4,-72.6890417125382
tetryl,tetryl,,126,tetryl,10178,tetryl,4,0.0173,-0.1264,-0.0916,0.5309284428,-0.3049858172,-0.3251281587,0.4791,-0.2954,-0.3157,tetryl,-4545.771327,-26336.880116,140.419791,-11.633936,-3.397572,247.865906,4.143,-1.533,-0.235,-3.842,-20.302,-3.578,-11.43,-9.377,2.099,31.732,94.491,-53.182,-52.131,-51.405,8.271,-43.086,51.074,33.993,2.108,18.138,3.983,-1.413,-0.314,-3.711,22.548299,287.143994450569,25,7,1,0,8,0,1.728701,1.1421,63.553509,4.205429,3.458252,3.868845,732,98,18.049999,7.319857,4.25,15.317936,5.490856,3.001816,20,20,29,36,9,0,15.610365,9.162479,8.971729,6.452713,2.075727,0,9.656754,4.656936,3.365399,2.22721,0.504673,3.084184,0.648634,1.237744,0.713613,339.762909,3363.261963,187.598236,212.877121,1167.542114,3363.858643,49.225639,248.046165794447,202.440396501069,1.41841252740805,3165.84859272285,1008.38607738453,1708.56446772401,2467.09592245888,2.98640553350979,208.828290492389,68.2918977210985,38.2737714846342,42.7969446684967,0.603715170278638,0.549579831932773,0.545864661654135,11.2848866846751,10.0239730336472,6.94753243490242,1.62430140347141,0,0,0,0,222.961520197175,211.100199907197,414.799238559023,660.056626267155,tetryl,51.5844930110522,16.4076336638538,0,43.8126031209768,-27.404969457123,35.1768593471984,19.0110804993716,4.3511912545715,11.5631717628452,0.251415830410161,0,0,0,0,0,0,0,0,0,25,8,5,7,5,-47.3629964855184
TNT,TNT,,100,,8376,TNT,3,0.0183,-0.1109,-0.0946,0.5359869409,-0.3332870287,-0.328391013,0.483,-0.3247,-0.3192,TNT,-3496.233602,-17670.02177,84.093029,-11.778512,-2.885441,203.796877,1.281,1.267,0.02,0.189,-11.057,0.06,-19.701,0.757,0,30.758,121.784,-0.231,3.402,-102.679,-0.783,-19.105,-0.668,0.125,0.899,-3.527,1.272,1.266,0.014,0.122,18.955794,227.13199532032,21,7,0,0,6,0,2.3746,1.9994,53.073303,3.129216,3.330696,3.650816,408,78,14.0625,5.557656,3.25,11.971941,4.182067,2.301022,16,16,23,28,7,0,12.455664,7.341111,7.150361,5.155941,1.631282,0,7.94583,3.920967,2.880351,1.941837,0.440438,2.655639,0.595511,1.344361,0.66391,254.083847,1983.933105,139.152496,160,699.612305,1982.592896,40.712879,202.088342979407,166.345702837975,1.36542147735282,2274.54481309815,877.077537540888,981.432387697203,1855.01470838155,2.80474278240679,147.086166419926,63.0396136060689,28.2022436149957,28.2309332847931,0.650260104041617,0.674136321195145,0.705539358600583,9.62935604537639,10.06767502076,4.15534172341545,2.42282721635827,0,0,0,0,189.910831480241,170.761269463478,366.949189857038,560.7092258092,TNT,63.4768595582797,42.0304747757321,0,75.8643587276104,-33.8338839518783,21.4463847825476,12.2777589963021,8.53729510328539,0.631319469030458,1.12139296188918E-05,0,0,0,0,0,0,0,0,0,21,6,3,7,5,-73.9658011470699
RDX,RDX,,150,,8490,RDX,3,0.0941,-0.0865,-0.0876,0.6058278712,-0.3316171676,-0.3244856672,0.5822,-0.3219,-0.3146,RDX,-3615.79873,-18513.052067,155.791507,-11.721344,-2.042514,195.950068,2.744,-0.052,0.049,2.743,-10.79,0.009,-11.004,-0.781,0.757,21.794,-35.77,32.459,-0.965,35.76,0.236,0.01,-32.303,-15.998,-0.156,16.964,2.37,-0.041,0.038,2.37,16.533488,222.116996526718,21,3,0,0,6,0,1.1277,-0.9504,43.926895,3.029874,2.440143,2.870834,354,72,13.066667,5.365079,3.5,11.156452,4.073707,2.517618,15,15,21,24,6,0,11.585421,6.91359,6.719396,4.644924,1.5,0,7.254091,3.592812,2.657117,1.672293,0.4,2.321928,0.556827,1.584963,0.594316,226.477325,1699.408936,127.464638,147.206711,617.062317,1697.408203,40.954453,195.401729698915,154.842988078434,1.43446596635172,1995.26057072513,820.382207472882,823.27220617176,1621.80783488592,2.52785150125186,122.582916791286,57.289843106742,29.3047823157125,29.4837812371808,0.629340277777778,0.714962121212121,0.71875,9.54489116686785,9.53720514915559,4.29768263550603,2.22093904468681,0,0,0,0,179.107330804792,162.860886660429,351.437970832765,534.844114486084,RDX,66.1757310784922,-12.5139650178472,0,45.8521244906487,-58.366089508496,78.6896960963394,31.0164377167413,36.6904669011658,5.83913129624458,5.14366018218767,0,0,0,0,0,0,0,0,0,21,6,6,3,6,-21.6102327829857
nitroglycerine,nitroglycerine,,140,Nitroglycerin,4510,nitroglycerine,3,0.0961,-0.0527,-0.102,0.5989199322,-0.2460036025,-0.3380842888,0.5813,-0.2376,-0.3317,nitroglycerine,-3944.266222,-18641.768203,-28.697725,-12.833215,-1.457273,210.737272,2.788,0.465,0.541,-2.695,-15.42,0.04,0.316,-2.775,-3.436,15.104,-78.975,-50.801,-5.965,33.313,0.167,45.662,32.123,-3.303,18.677,9.268,2.913,0.368,0.586,-2.829,15.5,227.084995388985,20,3,5,0,9,0,1.4841,0.0775,40.598106,6.266924,3.462625,4.166842,424,62,15,8.186852,10.285714,13.559999,6.932439,8.87847,15,14,17,14,4,0,11.844934,6.913591,6.437969,3.109268,1.428869,0,7.007439,3.272717,1.98977,0.966812,0.209138,2.689246,0.657926,1.217644,0.688334,172.97374,1431.158081,121.950623,134.605942,693.854553,1690.084717,36.789822,209.930946529198,157.676051779131,1.44019965509461,2586.22856044221,690.842517973274,1508.94641657623,1983.53106708947,2.78039323904797,209.534126287265,49.0866781744402,33.602502633827,41.5530691647488,0.550522648083624,0.728343145500421,0.660714285714286,11.0248106238183,8.08755626014935,5.70450902557343,1.93264846709748,0,0,0,0,192.719962668911,166.10430923455,385.330134192075,571.595029711313,nitroglycerine,85.2066414277192,4.76318196171513,0,30.723013983263,-25.9598320215478,80.4434594660041,37.1412874352124,40.7907027032601,2.5114680487421,1.27878950384464E-06,0,0,0,0,0,0,0,0,0,20,9,3,3,5,3.52290999513042
Trinitroaniline,Trinitroaniline,,110,Trinitroaniline,3032829,Trinitroaniline,3,0.0349,-0.0512,-0.0512,0.4908149191,-0.2827260929,-0.2826112601,0.4372,-0.2727,-0.2726,Trinitroaniline,-3561.495744,-18244.784377,87.867233,-10.679135,-2.177338,216.811884,10.759,4.14,9.931,-0.009,-6.827,13.72,18.996,-0.038,0.038,-12.169,51.413,61.279,0.071,-12.273,0,-39.14,-13.325,0.045,-47.954,-0.116,10.251,4.122,9.386,0.009,17.940666,228.119995594025,20,6,0,2,6,0,1.124201,0.7666,52.732502,2.985394,3.426678,3.78466,393,78,14.0625,5.557656,3.029727,11.772993,4.057278,2.054627,16,16,23,29,7,0,12.455665,7.357947,7.10524,4.947145,1.594007,0,7.523181,3.715625,2.642459,1.722966,0.37149,2.655639,0.595511,1.344361,0.66391,254.083847,1987.976318,139.152496,160,678.784546,1986.467041,39.41901,214.654488788077,164.426471582848,1.38736782099641,1868.57621223176,612.8784760206,1042.73794031685,1424.30847163556,2.7337456245766,254.633516918968,50.2950664273948,31.8493682523145,38.7511683019691,0.627906976744186,0.717484926787252,0.782407407407407,9.45359389259168,8.47292057880669,5.239078491842,1.80443830099364,0,0,0,0,193.94132164101,175.507334560934,370.376871554256,575.338791338988,Trinitroaniline,44.0095386418572,-2.191776656855,0,12.9648545608066,-15.1566312176616,46.2013152987122,14.2012892186312,1.99985919628212,30.000149554968,1.73288308480402E-05,0,0,0,0,0,0,0,0,0,20,6,4,6,4,-56.1108199510033
